severity,code,date,match,match_id,detail,source_filename
WARNING,BRANN_STARTERS_NOT_11,1980-06-18,Brann-Ny-Krohnborg 2-0,c4851a91-1674-4467-8af9-08137a64f3bb,"Brann har 9 registrerte startere, ikke 11.",1980-06-18_brann-ny-krohnborg.json
WARNING,BRANN_STARTERS_NOT_11,1980-07-03,Skarbøvik-Brann 3-5,4f2db538-044c-4bfc-8a38-00a690535065,"Brann har 10 registrerte startere, ikke 11.",1980-07-03_skarbovik-brann.json
WARNING,BRANN_STARTERS_NOT_11,1982-05-24,Brann-Steinkjer 3-2,5b94c7bd-df0e-4e08-82cc-860c8d82ff0e,"Brann har 12 registrerte startere, ikke 11.",1982-05-24_brann-steinkjer.json
WARNING,BRANN_STARTERS_NOT_11,1982-08-02,Brann-Vidar 3-1,94a5dfab-73e6-418f-b6c2-f4bc50f7b5f7,"Brann har 12 registrerte startere, ikke 11.",1982-08-02_brann-vidar.json
WARNING,BRANN_STARTERS_NOT_11,1982-08-25,Brann-Mjøndalen 4-2,7825e902-fb50-42c5-841c-f57cc47cd876,"Brann har 12 registrerte startere, ikke 11.",1982-08-25_brann-mjondalen.json
WARNING,BRANN_STARTERS_NOT_11,1985-05-30,Åsane-Brann 1-2,efd3e6cf-fae3-4227-9669-5c6211ea27e5,"Brann har 13 registrerte startere, ikke 11.",1985-05-30_asane-brann.json
WARNING,BRANN_UNKNOWN_START_STATUS,1974-06-20,Erdal-Brann 0-3,2f318364-db1d-4877-b12a-48aa8b59a648,"Brann-spiller med opptreden, men ukjent startstatus: Ivar Farestvedt",1974-06-20_erdal-brann.json
WARNING,GOAL_MISSING_SCORER,1912-09-08,TIF Viking-Brann 0-9,aa0e0b42-e342-460d-9b92-b0428b13b8ba,"Mal mangler malscorer. Event #0, minutt 3, type goal.",1912-09-08_viking-bergen-brann.json
WARNING,GOAL_MISSING_SCORER,1912-09-08,TIF Viking-Brann 0-9,aa0e0b42-e342-460d-9b92-b0428b13b8ba,"Mal mangler malscorer. Event #1, minutt 8, type goal.",1912-09-08_viking-bergen-brann.json
WARNING,GOAL_MISSING_SCORER,1912-09-08,TIF Viking-Brann 0-9,aa0e0b42-e342-460d-9b92-b0428b13b8ba,"Mal mangler malscorer. Event #2, minutt 13, type goal.",1912-09-08_viking-bergen-brann.json
WARNING,GOAL_MISSING_SCORER,1912-09-08,TIF Viking-Brann 0-9,aa0e0b42-e342-460d-9b92-b0428b13b8ba,"Mal mangler malscorer. Event #3, minutt 31, type goal.",1912-09-08_viking-bergen-brann.json
WARNING,GOAL_MISSING_SCORER,1912-09-08,TIF Viking-Brann 0-9,aa0e0b42-e342-460d-9b92-b0428b13b8ba,"Mal mangler malscorer. Event #4, minutt 42, type goal.",1912-09-08_viking-bergen-brann.json
WARNING,GOAL_MISSING_SCORER,1912-09-08,TIF Viking-Brann 0-9,aa0e0b42-e342-460d-9b92-b0428b13b8ba,"Mal mangler malscorer. Event #5, minutt 44, type goal.",1912-09-08_viking-bergen-brann.json
WARNING,GOAL_MISSING_SCORER,1912-09-08,TIF Viking-Brann 0-9,aa0e0b42-e342-460d-9b92-b0428b13b8ba,"Mal mangler malscorer. Event #6, minutt 56, type goal.",1912-09-08_viking-bergen-brann.json
WARNING,GOAL_MISSING_SCORER,1912-09-08,TIF Viking-Brann 0-9,aa0e0b42-e342-460d-9b92-b0428b13b8ba,"Mal mangler malscorer. Event #7, minutt 62, type goal.",1912-09-08_viking-bergen-brann.json
